# Radius     Gravity      Pressure     Temperature  Density      Vp           Vs           K            G            Expansivity  Cp            dGdT         
4.160385e+06 1.007662e+01 9.805988e+10 2.334214e+03 5.206348e+03 1.324389e+04 6.962626e+03 5.766707e+11 2.523942e+11 1.410027e-05 1.233172e+03 -1.861166e+07
4.169856e+06 1.007229e+01 9.756136e+10 2.331655e+03 5.201838e+03 1.323243e+04 6.958777e+03 5.749645e+11 2.518968e+11 1.414009e-05 1.233289e+03 -1.863043e+07
4.179327e+06 1.006806e+01 9.706351e+10 2.329094e+03 5.197324e+03 1.322095e+04 6.954918e+03 5.732599e+11 2.513992e+11 1.418012e-05 1.233407e+03 -1.864927e+07
4.188798e+06 1.006391e+01 9.656633e+10 2.326529e+03 5.192807e+03 1.320946e+04 6.951049e+03 5.715568e+11 2.509013e+11 1.422037e-05 1.233525e+03 -1.866819e+07
4.198269e+06 1.005984e+01 9.606980e+10 2.323961e+03 5.188287e+03 1.319795e+04 6.947171e+03 5.698552e+11 2.504032e+11 1.426084e-05 1.233644e+03 -1.868718e+07
4.207740e+06 1.005585e+01 9.557392e+10 2.321390e+03 5.183762e+03 1.318642e+04 6.943282e+03 5.681550e+11 2.499048e+11 1.430152e-05 1.233764e+03 -1.870626e+07
4.217212e+06 1.005195e+01 9.507865e+10 2.318816e+03 5.179234e+03 1.317488e+04 6.939382e+03 5.664562e+11 2.494061e+11 1.434244e-05 1.233884e+03 -1.872541e+07
4.226683e+06 1.004813e+01 9.458407e+10 2.316239e+03 5.174702e+03 1.316331e+04 6.935473e+03 5.647591e+11 2.489072e+11 1.438357e-05 1.234005e+03 -1.874464e+07
4.236154e+06 1.004439e+01 9.409013e+10 2.313658e+03 5.170167e+03 1.315173e+04 6.931553e+03 5.630633e+11 2.484080e+11 1.442493e-05 1.234126e+03 -1.876391e+07
4.245625e+06 1.004073e+01 9.359684e+10 2.311075e+03 5.165627e+03 1.314014e+04 6.927623e+03 5.613690e+11 2.479086e+11 1.446652e-05 1.234248e+03 -1.878335e+07
4.255096e+06 1.003715e+01 9.310417e+10 2.308488e+03 5.161084e+03 1.312852e+04 6.923682e+03 5.596762e+11 2.474088e+11 1.450834e-05 1.234371e+03 -1.880283e+07
4.264567e+06 1.003364e+01 9.261214e+10 2.305898e+03 5.156537e+03 1.311689e+04 6.919731e+03 5.579847e+11 2.469088e+11 1.455040e-05 1.234494e+03 -1.882239e+07
4.274038e+06 1.003021e+01 9.212074e+10 2.303305e+03 5.151986e+03 1.310524e+04 6.915769e+03 5.562946e+11 2.464085e+11 1.459269e-05 1.234619e+03 -1.884203e+07
4.283510e+06 1.002686e+01 9.162991e+10 2.300708e+03 5.147430e+03 1.309356e+04 6.911797e+03 5.546058e+11 2.459078e+11 1.463522e-05 1.234743e+03 -1.886165e+07
